country_code,country_name,region,income_level,capital_city,latitude,longitude,gdp_per_capita,gdp_per_capita_year,life_expectancy,life_expectancy_year,internet_users_pct,internet_users_pct_year,urban_population_pct,urban_population_pct_year,unemployment_pct,unemployment_pct_year,electricity_access_pct,electricity_access_pct_year,co2_mt_total_2018,population_2018,co2_tons_per_capita_2018
GUY,Guyana,Latin America & Caribbean,High income,Georgetown,6.80461,-58.1548,29675.2443873316,2024.0,70.319,2024,83.00080109,2024.0,26.477717988557,2024,11.874,2024.0,98.9,2023.0,2.44,791556.0,3.082536169266609
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,,22.3964,114.109,54074.6928519479,2024.0,85.3926829268293,2024,95.75536971,2024.0,100.0,2024,2.988,2024.0,100.0,2023.0,,,
HND,Honduras,Latin America & Caribbean,Lower middle income,Tegucigalpa,15.1333,-87.4667,3426.43483328923,2024.0,73.044,2024,58.62269974,2024.0,58.7850728104829,2024,4.91,2024.0,95.6,2023.0,9.77,9765210.0,1.0004905168450038
HRV,Croatia,Europe & Central Asia,High income,Zagreb,45.8069,15.9614,24050.4397933135,2024.0,78.9292682926829,2024,83.63240029,2024.0,57.5158981711443,2024,5.0,2024.0,100.0,2023.0,16.58,3988775.0,4.156664640146411
HTI,Haiti,Latin America & Caribbean,Lower middle income,Port-au-Prince,18.5392,-72.3288,2142.62330526788,2024.0,65.119,2024,47.8614006,2024.0,55.0372652481002,2024,14.609,2024.0,51.3,2023.0,3.33,10962362.0,0.303766651748957
HUN,Hungary,Europe & Central Asia,High income,Budapest,47.4984,19.0408,23292.3263882478,2024.0,76.7243902439025,2024,93.77898628,2024.0,70.491825943218,2024,4.5,2024.0,100.0,2023.0,46.39,9706964.0,4.779043169419398
IDN,Indonesia,East Asia & Pacific,Upper middle income,Jakarta,-6.19752,106.83,4925.43048751861,2024.0,71.288,2024,72.78075544,2024.0,58.7509635387997,2024,3.301,2024.0,99.4,2023.0,583.11,269951846.0,2.1600519079243488
IMN,Isle of Man,Europe & Central Asia,High income,Douglas,54.1509,-4.47928,88328.548125887,2022.0,81.091,2024,,,52.1633405796294,2024,,,100.0,2023.0,,,
IND,India,South Asia,Lower middle income,New Delhi,28.6353,77.225,2694.73780859961,2024.0,72.235,2024,64.9434967,2024.0,35.3788972368389,2024,4.173,2024.0,99.5,2023.0,2434.52,1374659064.0,1.7709991253511277
IRL,Ireland,Europe & Central Asia,High income,Dublin,53.3441,-6.26749,112894.953240805,2024.0,83.009756097561,2024,97.18769836,2024.0,64.3470379255585,2024,4.3,2024.0,100.0,2023.0,37.11,4898022.0,7.576527831030567
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Tehran,35.6878,51.4447,5190.16959024821,2024.0,77.854,2024,85.3404007,2024.0,77.0201263427734,2024,8.146,2024.0,100.0,2023.0,629.29,86117998.0,7.307299456729126
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Baghdad,33.3302,44.394,6073.61032342708,2024.0,72.424,2024,81.47450256,2024.0,69.8861494108913,2024,15.293,2024.0,100.0,2023.0,188.14,40265624.0,4.67247198255266
ISL,Iceland,Europe & Central Asia,High income,Reykjavik,64.1353,-21.8952,86040.5309851288,2024.0,82.809756097561,2024,98.209198,2024.0,94.1819039916522,2024,3.6,2024.0,100.0,2023.0,2.2,352721.0,6.237224321772732
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,,31.7717,35.2035,54176.6844383302,2024.0,83.1975609756098,2024,88.18242225,2024.0,91.536188843818,2024,3.595,2024.0,100.0,2023.0,61.97,8882800.0,6.97640383662809
ITA,Italy,Europe & Central Asia,High income,Rome,41.8955,12.4823,40385.3413957669,2024.0,83.9512195121951,2024,89.2207202,2024.0,69.6047535143071,2024,6.5,2024.0,100.0,2023.0,324.85,60148658.0,5.400785500484483
JAM,Jamaica,Latin America & Caribbean,Upper middle income,Kingston,17.9927,-76.792,7753.8006955432,2024.0,71.606,2024,90.10870361,2024.0,58.9301585439922,2024,3.151,2024.0,97.7,2023.0,8.51,2820097.0,3.01762669865611
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Amman,31.9497,35.9263,4618.09592498567,2024.0,77.981,2024,95.62244985,2024.0,92.9501393764286,2024,16.693,2024.0,100.0,2023.0,24.7,10462306.0,2.360856201300172
JPN,Japan,East Asia & Pacific,High income,Tokyo,35.67,139.77,32487.0778047567,2024.0,84.0363414634146,2024,85.54153081,2024.0,92.1901718034531,2024,2.5,2024.0,100.0,2023.0,1106.15,126811000.0,8.72282372980262
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,Astana,51.1879,71.4382,14154.6324958076,2024.0,74.531,2024,93.39167254,2024.0,62.072531584162,2024,4.833,2024.0,100.0,2023.0,220.45,18932727.0,11.643858805971268
KEN,Kenya,Sub-Saharan Africa,Lower middle income,Nairobi,-1.27975,36.8126,2132.43452097647,2024.0,63.834,2024,34.97622513,2024.0,31.8937831721599,2024,5.487,2024.0,76.2,2023.0,18.4,50207107.0,0.3664819803299959
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,Bishkek,42.8851,74.6057,2420.18542283831,2024.0,72.4,2024,92.0286026,2024.0,34.7219977865937,2024,3.491,2024.0,100.0,2023.0,11.0,6444079.0,1.706993350019452
KHM,Cambodia,East Asia & Pacific,Lower middle income,Phnom Penh,11.5556,104.874,2627.87969756224,2024.0,70.817,2024,68.47530365,2024.0,40.8727033252729,2024,0.254,2024.0,95.0,2023.0,11.16,16274522.0,0.6857344258713097
KIR,Kiribati,East Asia & Pacific,Lower middle income,Tarawa,1.32905,172.979,2288.63471423684,2024.0,66.6,2024,89.44029999,2024.0,62.4620431275642,2024,,,95.9,2023.0,0.08,122084.0,0.6552865240326333
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,Basseterre,17.3,-62.7309,23960.6534357084,2024.0,72.281,2024,76.88400269,2024.0,31.795061903951,2024,,,100.0,2023.0,0.26,47008.0,5.530973451327434
KOR,"Korea, Rep.",East Asia & Pacific,High income,Seoul,37.5323,126.957,36238.639908315,2024.0,83.6292682926829,2024,97.89563777,2024.0,81.1682528469686,2024,2.784,2024.0,100.0,2023.0,630.87,51585058.0,12.229704190698012
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,Kuwait City,29.3721,47.9824,32717.7186631255,2024.0,84.580487804878,2024,99.74729919,2024.0,100.0,2024,2.151,2024.0,100.0,2023.0,89.46,4323515.0,20.69149754308705
LAO,Lao PDR,East Asia & Pacific,Lower middle income,Vientiane,18.5826,102.177,2123.97909415109,2024.0,69.225,2024,65.59269714,2024.0,39.5552154401406,2024,1.174,2024.0,96.5,2023.0,18.79,7128045.0,2.636066410916317
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Beirut,33.8872,35.5134,3477.72489842684,2023.0,77.945,2024,80.63400269,2024.0,90.703695784554,2024,10.985,2023.0,100.0,2023.0,27.71,5984119.0,4.630589732590545
LBR,Liberia,Sub-Saharan Africa,Low income,Monrovia,6.30039,-10.7957,851.497723870206,2024.0,62.324,2024,32.23360062,2024.0,55.5387986654968,2024,2.914,2024.0,32.5,2023.0,1.32,4944726.0,0.2669510909199013
