country_code,country_name,region,income_level,start_year,end_year,years_observed,start_som_row,start_som_col,end_som_row,end_som_col,complete_full_window,total_feature_distance,mean_feature_step,max_single_year_feature_step,total_som_steps,max_single_year_som_step
URY,Uruguay,Latin America & Caribbean,High income,2014,2023,10,3,7,2,8,True,2.2345,0.2483,0.4281,2,1
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,2014,2023,10,3,9,3,9,True,2.2268,0.2474,0.3694,0,0
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2014,2023,10,3,3,2,5,True,2.2229,0.247,0.568,3,1
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2014,2023,10,7,1,6,2,True,2.198,0.2442,0.429,2,1
GTM,Guatemala,Latin America & Caribbean,Upper middle income,2014,2023,10,7,5,6,7,True,2.1891,0.2432,0.4683,5,2
FJI,Fiji,East Asia & Pacific,Upper middle income,2014,2023,10,7,6,7,8,True,2.1762,0.2418,0.3275,2,1
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2014,2023,10,7,9,6,9,True,2.1568,0.2396,0.5516,1,1
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2014,2023,10,3,6,2,5,True,2.1495,0.2388,0.6148,2,1
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,2014,2023,10,4,2,4,4,True,2.1412,0.2379,0.3084,4,2
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2014,2023,10,4,4,6,9,True,2.1352,0.2372,0.675,13,9
ITA,Italy,Europe & Central Asia,High income,2014,2023,10,0,5,4,11,True,2.1278,0.2364,0.4289,10,8
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2014,2023,10,6,3,6,3,True,2.0962,0.2329,0.3223,0,0
BRB,Barbados,Latin America & Caribbean,High income,2014,2023,10,0,4,6,11,True,2.0938,0.2326,0.6501,39,13
BEN,Benin,Sub-Saharan Africa,Lower middle income,2014,2023,10,7,1,7,3,True,2.0912,0.2324,0.5775,2,1
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2014,2023,10,7,10,6,10,True,2.0902,0.2322,0.45,5,2
ROU,Romania,Europe & Central Asia,High income,2014,2023,10,8,11,6,11,True,2.0863,0.2318,0.3041,4,1
CAN,Canada,North America,High income,2014,2023,10,0,8,2,10,True,2.0753,0.2306,0.674,16,6
GMB,"Gambia, The",Sub-Saharan Africa,Low income,2014,2023,10,6,2,5,3,True,2.0649,0.2294,0.3191,2,1
IRL,Ireland,Europe & Central Asia,High income,2014,2023,10,0,6,3,11,True,2.061,0.229,0.3384,10,9
MAC,"Macao SAR, China",East Asia & Pacific,High income,2014,2023,10,0,10,0,10,True,2.0575,0.2286,0.5749,4,1
HTI,Haiti,Latin America & Caribbean,Lower middle income,2014,2023,10,5,1,4,1,True,2.0219,0.2247,0.3258,1,1
